muni_code;region;muni_name;uf_code;uf_acr;tipo_regiao;bioma;altitude;koppen;pop22;prop_residuo;prop_esgot
1500503;1;Almeirim;15;PA;n„o metropolitana;amazonia;271,02;Am;38843;64,8;34,88
1500602;1;Altamira;15;PA;n„o metropolitana;amazonia;266,33;Am;135067;79,6;18,75
1500701;1;Anaj√°s;15;PA;n„o metropolitana;amazonia;19,92;Am;34065;35,89;9,37
1500800;1;Ananindeua;15;PA;metropolitana;amazonia;15,77;Af;515745;97,75;55,45
1500859;1;Anapu;15;PA;n„o metropolitana;amazonia;144,96;Am;33566;41,42;1,75
1500909;1;Augusto Corr√™a;15;PA;n„o metropolitana;amazonia;26,43;Am;43691;28,12;26,8
1500958;1;Aurora Do Par√°;15;PA;n„o metropolitana;amazonia;47,52;Am;32772;30,18;18,41
1501006;1;Aveiro;15;PA;n„o metropolitana;amazonia;97,51;Af;18343;19;8,55
1501105;1;Bagre;15;PA;n„o metropolitana;amazonia;30,93;Af;35265;37,99;2,96
1501204;1;Bai√£o;15;PA;n„o metropolitana;amazonia;40,53;Am;51844;34,88;24,24
1501253;1;Bannach;15;PA;n„o metropolitana;amazonia;420,97;Am;3730;34,65;1,83
1501303;1;Barcarena;15;PA;n„o metropolitana;amazonia;13,55;Af;126733;82,96;29,4
1501402;1;Bel√©m;15;PA;metropolitana;amazonia;8,21;Am;1367336;96,72;68,41
1501451;1;Belterra;15;PA;n„o metropolitana;amazonia;129,83;Am;18060;39,76;21,24
1501501;1;Benevides;15;PA;metropolitana;amazonia;24,53;Af;56152;85,42;17,4
1501576;1;Bom Jesus Do Tocantins;15;PA;n„o metropolitana;amazonia;155,19;Aw;14511;54,85;13,23
1501600;1;Bonito;15;PA;n„o metropolitana;amazonia;53,59;Am;12892;33,57;13,94
1501709;1;Bragan√ßa;15;PA;n„o metropolitana;amazonia;39,13;Am;121793;61,48;14,75
1501725;1;Brasil Novo;15;PA;n„o metropolitana;amazonia;161,73;Am;30214;45,85;2,52
1501758;1;Brejo Grande Do Araguaia;15;PA;n„o metropolitana;amazonia;170,68;Aw;6791;43,75;7,63
1501782;1;Breu Branco;15;PA;n„o metropolitana;amazonia;80,19;Am;40157;64,26;5,48
1501808;1;Breves;15;PA;n„o metropolitana;amazonia;18,54;Af;114628;53,87;7,6
1501907;1;Bujaru;15;PA;n„o metropolitana;amazonia;30,73;Af;27049;31,05;10,62
1501956;1;Cachoeira Do Piri√°;15;PA;n„o metropolitana;amazonia;53,36;Am;26510;18,85;2,94
1502004;1;Cachoeira Do Arari;15;PA;n„o metropolitana;amazonia;5,62;Am;22950;32,6;39,01
1502103;1;Camet√°;15;PA;n„o metropolitana;amazonia;14,32;Af;134734;44,61;11,43
1502152;1;Cana√£ Dos Caraj√°s;15;PA;n„o metropolitana;amazonia;356,43;Am;75433;84,2;36,85
1502202;1;Capanema;15;PA;n„o metropolitana;amazonia;33,62;Am;70321;82,88;65,76
1502301;1;Capit√£o Po√ßo;15;PA;n„o metropolitana;amazonia;74,23;Am;56331;49,22;3,31
1502400;1;Castanhal;15;PA;metropolitana;amazonia;38,74;Am;200003;90,27;36,39
1502509;1;Chaves;15;PA;n„o metropolitana;amazonia;7,81;Am;20630;13,65;2
1502608;1;Colares;15;PA;n„o metropolitana;amazonia;7,28;Am;11923;32,04;2,01
1502707;1;Concei√ß√£o Do Araguaia;15;PA;n„o metropolitana;amazonia;200,42;Aw;44765;66,66;4,77
1502756;1;Conc√≥rdia Do Par√°;15;PA;n„o metropolitana;amazonia;41,38;Af;26869;56,71;6,81
1502764;1;Cumaru Do Norte;15;PA;n„o metropolitana;amazonia;356,77;Am;12397;26,67;1,66
1502772;1;Curion√≥polis;15;PA;n„o metropolitana;amazonia;254,67;Am;19929;46,46;4,51
1502806;1;Curralinho;15;PA;n„o metropolitana;amazonia;18,13;Af;38060;31,25;1,52
1502855;1;Curu√°;15;PA;n„o metropolitana;amazonia;18,58;Am;14126;18,09;1,18
1502905;1;Curu√ß√°;15;PA;n„o metropolitana;amazonia;20,54;Am;44493;51,89;23,11
1502939;1;Dom Eliseu;15;PA;n„o metropolitana;amazonia;202,8;Aw;58444;71,34;7,15
1502954;1;Eldorado Do Caraj√°s;15;PA;n„o metropolitana;amazonia;152,43;Am;30264;32,12;7,63
1503002;1;Faro;15;PA;n„o metropolitana;amazonia;130,55;Af;8728;38,01;2,11
1503044;1;Floresta Do Araguaia;15;PA;n„o metropolitana;amazonia;188,68;Aw;17896;27,91;1,22
1503077;1;Garraf√£o Do Norte;15;PA;n„o metropolitana;amazonia;81,84;Am;24716;29,82;1,12
1503093;1;Goian√©sia Do Par√°;15;PA;n„o metropolitana;amazonia;109,41;Am;23806;61,92;8,68
1503101;1;Gurup√°;15;PA;n„o metropolitana;amazonia;18,85;Am;31945;35,87;5,47
1503200;1;Igarap√©-A√ßu;15;PA;n„o metropolitana;amazonia;39,23;Am;35788;65,59;1,71
1503309;1;Igarap√©-Miri;15;PA;n„o metropolitana;amazonia;14,75;Af;66369;45,42;3,55
1503408;1;Inhangapi;15;PA;n„o metropolitana;amazonia;23,49;Am;10334;34,08;21,1
