muni_code;muni_name;uf_code;uf_acr;tipo_regiao;bioma;altitude;koppen;pop22;prop_esgot;prop_abast;prop_residuo
4127908;Tuneiras Do Oeste;41;PR;n„o metropolitana;mata atlantica;466,22;Cfa;10332;6,33;94,55;77,39
4127957;Tup√£ssi;41;PR;n„o metropolitana;mata atlantica;549,13;Cfa;8088;19,3;93,75;82,71
4127965;Turvo;41;PR;n„o metropolitana;mata atlantica;993,73;Cfb;16147;16,3;78,66;53,94
4128005;Ubirat√£;41;PR;n„o metropolitana;mata atlantica;420,47;Cfa;24733;24,72;97,51;86,73
4128104;Umuarama;41;PR;n„o metropolitana;mata atlantica;380,96;Cfa;117148;79,54;98,96;94,7
4128203;Uni√£o Da Vit√≥ria;41;PR;n„o metropolitana;mata atlantica;915,26;Cfb;55238;82,61;96,49;93,88
4128302;Uniflor;41;PR;n„o metropolitana;mata atlantica;458,82;Cfa;2136;1,69;88,42;83,09
4128401;Ura√≠;41;PR;n„o metropolitana;mata atlantica;459,1;Cfa;10378;56,61;96,98;86,93
4128500;Wenceslau Braz;41;PR;n„o metropolitana;mata atlantica;690,05;Cfa;18894;23,94;92,72;83,43
4128534;Ventania;41;PR;n„o metropolitana;mata atlantica;844,93;Cfb;9682;16,68;93,27;77,14
4128559;Vera Cruz Do Oeste;41;PR;n„o metropolitana;mata atlantica;524,43;Cfa;9326;42,27;91,71;80,4
4128609;Ver√™;41;PR;n„o metropolitana;mata atlantica;553,22;Cfa;7929;27,41;92,52;57,61
4128625;Alto Para√≠so;41;PR;n„o metropolitana;mata atlantica;297,1;Cfa;3059;8,22;81,98;72,27
4128633;Doutor Ulysses;41;PR;metropolitana;mata atlantica;769,46;Cfb;6216;57,03;71,16;27,36
4128658;Virmond;41;PR;n„o metropolitana;mata atlantica;728,28;Cfa;3813;3,59;92,49;61,93
4128708;Vitorino;41;PR;n„o metropolitana;mata atlantica;789,24;Cfb;9942;49,97;91,18;75,01
4128807;Xambr√™;41;PR;n„o metropolitana;mata atlantica;361,79;Cfa;5769;13,04;79,14;73,77
4200051;Abdon Batista;42;SC;n„o metropolitana;mata atlantica;808,38;Cfb;2600;44,56;91,73;42,91
4200101;Abelardo Luz;42;SC;n„o metropolitana;mata atlantica;892,41;Cfb;17389;13,06;91,45;58,9
