muni_code;muni_name;uf_code;uf_acr;tipo_regiao;bioma;altitude;koppen;pop22
2302602;Camocim;23;CE;n„o metropolitana;caatinga;21,84;As;62419
2302701;Campos Sales;23;CE;n„o metropolitana;caatinga;559,07;BSh;25132
2302800;Canind√©;23;CE;n„o metropolitana;caatinga;304,7;BSh;73969
2302909;Capistrano;23;CE;n„o metropolitana;caatinga;238,66;As;16005
2303006;Caridade;23;CE;n„o metropolitana;caatinga;185,14;As;15898
2303105;Carir√©;23;CE;n„o metropolitana;caatinga;136,81;As;17633
2303204;Cariria√ßu;23;CE;n„o metropolitana;caatinga;487,15;As;26236
2303303;Cari√∫s;23;CE;n„o metropolitana;caatinga;332,75;As;16398
2303402;Carnaubal;23;CE;n„o metropolitana;caatinga;759,79;As;17211
2303501;Cascavel;23;CE;metropolitana;caatinga;48,94;As;70498
2303600;Catarina;23;CE;n„o metropolitana;caatinga;478,36;BSh;9950
2303659;Catunda;23;CE;n„o metropolitana;caatinga;390,13;BSh;10425
2303709;Caucaia;23;CE;metropolitana;caatinga;75,58;As;372413
2303808;Cedro;23;CE;n„o metropolitana;caatinga;270,1;As;22216
2303907;Chaval;23;CE;n„o metropolitana;caatinga;30,51;As;12443
2303931;Chor√≥;23;CE;n„o metropolitana;caatinga;270,99;BSh;11414
2303956;Chorozinho;23;CE;metropolitana;caatinga;71,3;As;20174
2304004;Corea√∫;23;CE;n„o metropolitana;caatinga;132,75;As;20944
2304103;Crate√∫s;23;CE;n„o metropolitana;caatinga;353,28;As;75394
2304202;Crato;23;CE;n„o metropolitana;caatinga;716,19;As;130858
2304236;Croat√°;23;CE;n„o metropolitana;caatinga;640,63;As;17492
2304251;Cruz;23;CE;n„o metropolitana;caatinga;23,87;As;29360
2304269;Deputado Irapuan Pinheiro;23;CE;n„o metropolitana;caatinga;270,04;As;8470
2304277;Erer√™;23;CE;n„o metropolitana;caatinga;232,42;As;6466
2304285;Eus√©bio;23;CE;metropolitana;caatinga;28,13;As;73667
2304301;Farias Brito;23;CE;n„o metropolitana;caatinga;412,01;As;18226
2304350;Forquilha;23;CE;n„o metropolitana;caatinga;130,33;As;22848
2304400;Fortaleza;23;CE;metropolitana;caatinga;25,34;As;2596157
2304459;Fortim;23;CE;n„o metropolitana;caatinga;27,1;As;17308
2304509;Frecheirinha;23;CE;n„o metropolitana;caatinga;159,49;As;15660
2304608;General Sampaio;23;CE;n„o metropolitana;caatinga;145,65;BSh;6734
2304657;Gra√ßa;23;CE;n„o metropolitana;caatinga;391,19;As;13805
2304707;Granja;23;CE;n„o metropolitana;caatinga;108,69;As;53352
2304806;Granjeiro;23;CE;n„o metropolitana;caatinga;458,2;As;4843
2304905;Groa√≠ras;23;CE;n„o metropolitana;caatinga;102,41;As;10889
2304954;Guai√∫ba;23;CE;metropolitana;caatinga;131,41;As;22283
2305001;Guaraciaba Do Norte;23;CE;n„o metropolitana;caatinga;774;As;42063
2305100;Guaramiranga;23;CE;n„o metropolitana;caatinga;799,73;As;5676
2305209;Hidrol√¢ndia;23;CE;n„o metropolitana;caatinga;229,5;As;17854
2305233;Horizonte;23;CE;metropolitana;caatinga;62,91;As;69999
2305266;Ibaretama;23;CE;n„o metropolitana;caatinga;147,67;As;11927
2305308;Ibiapina;23;CE;n„o metropolitana;caatinga;662,25;As;23966
2305332;Ibicuitinga;23;CE;n„o metropolitana;caatinga;142;As;11582
2305357;Icapu√≠;23;CE;n„o metropolitana;caatinga;49,18;As;21400
2305407;Ic√≥;23;CE;n„o metropolitana;caatinga;306,03;BSh;62125
2305506;Iguatu;23;CE;n„o metropolitana;caatinga;245,54;As;97733
2305605;Independ√™ncia;23;CE;n„o metropolitana;caatinga;383,94;BSh;24047
2305654;Ipaporanga;23;CE;n„o metropolitana;caatinga;424,64;As;11575
2305704;Ipaumirim;23;CE;n„o metropolitana;caatinga;318,57;As;12204
2305803;Ipu;23;CE;n„o metropolitana;caatinga;356,52;As;41083
2305902;Ipueiras;23;CE;n„o metropolitana;caatinga;505,79;As;36751
2306009;Iracema;23;CE;n„o metropolitana;caatinga;217,76;As;13993
2306108;Irau√ßuba;23;CE;n„o metropolitana;caatinga;234,64;BSh;23944
2306207;Itai√ßaba;23;CE;n„o metropolitana;caatinga;29,5;As;7532
2306256;Itaitinga;23;CE;metropolitana;caatinga;58,11;As;60706
2306306;Itapaj√©;23;CE;n„o metropolitana;caatinga;323,54;As;46495
2306405;Itapipoca;23;CE;n„o metropolitana;caatinga;144,69;As;132711
2306504;Itapi√∫na;23;CE;n„o metropolitana;caatinga;169,42;As;17211
