,geocodigo,temp_med,umid_med,precip_tot,year,muni_code,dengue_pattern
52769,4118907,22.79239272967033,73.61015346153846,652.9968016212,2012,4118907,Episódico/Epidêmico
52770,4119004,20.69199398489011,77.87130334065934,763.993074551,2012,4119004,Episódico
52771,4119103,17.45363285989011,82.79761982142857,632.4087329453,2012,4119103,Episódico
52772,4119152,17.975870687362637,84.51322644505495,677.04544071906,2012,4119152,Episódico/Epidêmico
52773,4119202,20.48821695054945,77.08380772527472,500.45692897403,2012,4119202,Episódico
52774,4119251,19.430868000274724,78.83027896703297,761.84688868852,2012,4119251,Episódico
52775,4119301,17.308404305494506,82.02756314285715,736.77539208273,2012,4119301,Episódico/Epidêmico
52776,4119400,18.222777086813185,80.5493620054945,586.42012233967,2012,4119400,Episódico
52777,4119509,19.229922874450548,84.46755282417583,747.78135585258,2012,4119509,Episódico
52778,4119608,18.20498858324176,81.78998478296704,730.4346910665,2012,4119608,Episódico/Epidêmico
52779,4119657,21.129762853846156,77.64110007692308,672.38746634783,2012,4119657,Episódico/Epidêmico
52780,4119707,23.124213549175824,72.45594447802198,615.4191150528,2012,4119707,Episódico/Epidêmico
52781,4119806,20.336965373901098,77.6734710467033,722.63079409002,2012,4119806,Episódico/Epidêmico
52782,4119905,18.409509712087914,80.52398461813188,604.45081963856,2012,4119905,Episódico/Epidêmico
52783,4119954,21.543335943681317,82.07050781318681,546.03370489078,2012,4119954,Episódico/Epidêmico
52784,4120002,22.704748839835165,73.98248641483517,536.9807121859,2012,4120002,Epidêmico
52785,4120101,18.135512603021976,80.74631363461539,598.78732741367,2012,4120101,Episódico
52786,4120150,19.558506149725275,80.42780566758242,796.815795338,2012,4120150,Episódico/Epidêmico
52787,4120200,23.522018152472526,72.47501007967033,539.4160690271,2012,4120200,Episódico/Epidêmico
52788,4120309,17.04496252664835,83.63436137912088,570.90844156743,2012,4120309,Sem transmissão
52789,4120333,21.965673103021977,75.11259052747252,603.88104099774,2012,4120333,Episódico/Epidêmico
52790,4120358,19.913926571153848,78.46486117032967,805.236041125,2012,4120358,Episódico/Epidêmico
52791,4120408,22.486304555494506,73.98373819505494,666.835096073,2012,4120408,Episódico/Epidêmico
52792,4120507,22.814020153846155,75.47423381868131,543.23018875372,2012,4120507,Epidêmico
52793,4120606,18.476842367032965,81.70938424450549,539.9219491016,2012,4120606,Episódico/Epidêmico
52794,4120655,21.42713402912088,76.43761309065934,724.63261846564,2012,4120655,Episódico/Epidêmico
52795,4120705,21.261412852472528,75.77555576098901,478.2379222324,2012,4120705,Episódico/Epidêmico
52796,4120804,17.975870687362637,84.51322644505495,677.04544071906,2012,4120804,Episódico
52797,4120853,22.13323076620879,74.75239871428572,600.64991891153,2012,4120853,Episódico/Epidêmico
52798,4120903,19.648213181868133,80.60251851648351,839.6927529302,2012,4120903,Episódico/Epidêmico
52799,4121000,23.327001554945056,73.41993143131867,560.515812275,2012,4121000,Episódico/Epidêmico
52800,4121109,21.447152254395604,76.55428453296703,726.424748632,2012,4121109,Episódico/Epidêmico
52801,4121208,17.751155433791208,81.74675857142857,591.94506108062,2012,4121208,Episódico
52802,4121257,21.691055987912087,75.57678581593406,603.279583593,2012,4121257,Episódico/Epidêmico
52803,4121307,22.205611809065932,76.04947213186813,565.7021374670001,2012,4121307,Episódico/Epidêmico
52804,4121356,21.427133926648352,76.43761502197802,724.63261846564,2012,4121356,Episódico/Epidêmico
52805,4121406,20.336965373901098,77.6734710467033,722.63079409002,2012,4121406,Episódico/Epidêmico
52806,4121505,17.473372042857143,82.78490748901099,601.20621895207,2012,4121505,Episódico
52807,4121604,18.75184431208791,80.01286595879121,762.38371818496,2012,4121604,Episódico/Epidêmico
52808,4121703,18.551504118956043,81.54002207692308,669.42481363557,2012,4121703,Episódico
52809,4121752,18.23904120934066,81.03399221703297,796.90852035655,2012,4121752,Sem transmissão
52810,4121802,21.46596175,77.11731409615385,554.71149879154,2012,4121802,Episódico/Epidêmico
52811,4121901,21.261412380494505,75.77556009615385,478.2376922323,2012,4121901,Episódico/Epidêmico
52812,4122008,17.817202973626372,82.16330396428572,613.18985108129,2012,4122008,Episódico
52813,4122107,21.266560256043956,77.70234912362638,663.17173028536,2012,4122107,Episódico/Epidêmico
52814,4122156,19.26311701813187,80.05459422802197,784.83406208763,2012,4122156,Episódico/Epidêmico
52815,4122172,19.733012061263736,80.94476148901099,690.2585939144,2012,4122172,Episódico
52816,4122206,17.975870761538463,84.51322162362638,677.04403069706,2012,4122206,Episódico
52817,4122305,17.62510309175824,82.4586473489011,629.22772402711,2012,4122305,Episódico
52818,4122404,21.129763134065936,77.6411001043956,672.3874063478299,2012,4122404,Epidêmico
52819,4122503,19.865300432692308,79.46931953021978,773.9007294488,2012,4122503,Episódico/Epidêmico
52820,4122602,22.161950194505494,74.85102128021978,670.6694201079999,2012,4122602,Episódico/Epidêmico
52821,4122651,19.733012061263736,80.94476148901099,690.2585939144,2012,4122651,Episódico
52822,4122701,21.358062446153845,76.71688969230769,647.0781733596,2012,4122701,Episódico/Epidêmico
52823,4122800,18.627009602747254,79.65655371978022,770.9665630478,2012,4122800,Episódico
52824,4122909,21.202055171703297,76.12135825549451,500.41864667995003,2012,4122909,Episódico
52825,4123006,19.940129189560437,78.35564248076923,720.5281764829,2012,4123006,Episódico/Epidêmico
52826,4123105,21.400921206043957,76.85179586538462,559.71016373246,2012,4123105,Episódico/Epidêmico
52827,4123204,20.50752232967033,78.18866738461539,534.223809568,2012,4123204,Episódico/Epidêmico
52828,4123303,23.124213807692307,72.45594155494506,615.4189852518,2012,4123303,Episódico/Epidêmico
52829,4123402,22.261396520604396,74.26000975824176,612.62943179963,2012,4123402,Episódico/Epidêmico
52830,4123501,22.323762042307692,75.92806204120879,562.2252003654,2012,4123501,Epidêmico
52831,4123600,23.295241080494502,73.19889982417583,485.096497006,2012,4123600,Episódico/Epidêmico
52832,4123709,23.267470025274722,72.59995962362638,578.0579982724,2012,4123709,Epidêmico
52833,4123808,20.336966182967032,77.67346493131868,722.63033210902,2012,4123808,Episódico/Epidêmico
52834,4123824,20.63957465686813,78.22049518406592,722.2300380357,2012,4123824,Episódico/Epidêmico
52835,4123857,17.50372090769231,82.61140007417582,726.18757393081,2012,4123857,Episódico
52836,4123907,21.51878700989011,76.53314535714286,564.49734427025,2012,4123907,Episódico/Epidêmico
52837,4123956,23.124213807692307,72.45594155494506,615.4189852518,2012,4123956,Episódico/Epidêmico
52838,4124004,20.488417826373627,76.71336582692308,514.54761042887,2012,4124004,Episódico
52839,4124020,20.934040835164836,76.62242861263736,678.6041176013,2012,4124020,Episódico/Epidêmico
