muni_code_6;munname;prop_esgot;prop_abast;prop_residuo
150803;TRACUATEUA;0,83;73,92;32,7
150805;TRAIRAO;1,47;77,05;49,34
150808;TUCUMA;32,68;90,09;66,08
150810;TUCURUI;16,04;94,34;92,3
150812;ULIANOPOLIS;10,02;85,58;69,34
150815;URUARA;3,09;79,56;51,8
150820;VIGIA;7,61;90,41;70,66
150830;VISEU;19,58;77,74;18,91
150835;VITORIA DO XINGU;28,22;80,48;18,78
150840;XINGUARA;14,77;88,12;79,26
160005;SERRA DO NAVIO;50,26;94,59;87,7
160010;AMAPA;36,18;81,05;82,73
160015;PEDRA BRANCA DO AMAPARI;23,21;80,68;62,8
160020;CALCOENE;12,11;87;73,42
160021;CUTIAS;0,77;73,84;65,31
160023;FERREIRA GOMES;7,37;84,81;74,13
160025;ITAUBAL;18,04;68,46;59,71
160027;LARANJAL DO JARI;10,48;91,8;86,35
160030;MACAPA;28,16;95,07;95,88
160040;MAZAGAO;5,9;62,42;38,17
160050;OIAPOQUE;28;84,3;74,45
160053;PORTO GRANDE;23,9;84,51;67,02
160055;PRACUUBA;2,24;95,26;69,79
160060;SANTANA;16,26;92,9;93,27
160070;TARTARUGALZINHO;12,18;81,57;48,9
160080;VITORIA DO JARI;13,73;67,54;88,06
170025;ABREULANDIA;14,61;60,52;56,71
170030;AGUIARNOPOLIS;32,75;93,34;78,9
170035;ALIANCA DO TOCANTINS;21,05;98,72;79
170040;ALMAS;30,97;93,41;58,44
170070;ALVORADA;6,77;97,22;90,83
170100;ANANAS;30,3;95,42;72,65
170105;ANGICO;1,19;89,55;51,9
170110;APARECIDA DO RIO NEGRO;2,16;92,8;73,52
170130;ARAGOMINAS;13,24;79,42;41,34
170190;ARAGUACEMA;21,99;93,49;45,9
170200;ARAGUACU;2,22;99,65;67,76
170210;ARAGUAINA;16,33;97,76;91,99
170215;ARAGUANA;39,77;97,27;78,46
170220;ARAGUATINS;1,86;88,74;61,33
170230;ARAPOEMA;11,81;97,45;75,52
170240;ARRAIAS;25,8;80,34;62,33
170255;AUGUSTINOPOLIS;9,71;94,03;73,99
170270;AURORA DO TOCANTINS;2,26;89,32;62,53
170290;AXIXA DO TOCANTINS;28,14;97,96;67,99
170300;BABACULANDIA;21,64;81,18;46,08
170305;BANDEIRANTES DO TOCANTINS;2,19;83,72;53,45
170307;BARRA DO OURO;14,2;87,18;57,98
170310;BARROLANDIA;23,53;98,28;82,44
170320;BERNARDO SAYAO;14,21;96,73;61,98
170330;BOM JESUS DO TOCANTINS;27,81;93,15;62,86
170360;BRASILANDIA DO TOCANTINS;5,08;98,69;67,38
170370;BREJINHO DE NAZARE;10,02;89,66;75,5
170380;BURITI DO TOCANTINS;20,68;98,33;57,54
170382;CACHOEIRINHA;17,5;90,53;33,75
170384;CAMPOS LINDOS;9,51;89,54;51,91
170386;CARIRI DO TOCANTINS;24,67;97,67;59,03
170388;CARMOLANDIA;51,35;98,19;77,41
170389;CARRASCO BONITO;32,2;92,75;74,52
170390;CASEARA;6,41;95,45;56,45
170410;CENTENARIO;26,21;98,43;56,41
170460;CHAPADA DE AREIA;2,86;94,71;52,64
170510;CHAPADA DA NATIVIDADE;44,87;95,15;46,92
170550;COLINAS DO TOCANTINS;31,32;98,51;93,52
170555;COMBINADO;11,41;93,18;66,46
170560;CONCEICAO DO TOCANTINS;7,95;91,62;61,23
170600;COUTO MAGALHAES;31,59;90,21;44,26
170610;CRISTALANDIA;6,53;98,76;80,88
170625;CRIXAS DO TOCANTINS;30,61;98,98;54,7
170650;DARCINOPOLIS;45,86;85,12;62,08
170700;DIANOPOLIS;15,37;93,95;84,46
170710;DIVINOPOLIS DO TOCANTINS;6,73;98,92;67,29
170720;DOIS IRMAOS DO TOCANTINS;16,61;83,69;39,56
170730;DUERE;14,38;98,34;61,2
170740;ESPERANTINA;19,05;94,89;40,1
170755;FATIMA;54,4;99,03;80,32
170765;FIGUEIROPOLIS;56,46;99,31;72,26
170770;FILADELFIA;8,11;86,11;53,16
170820;FORMOSO DO ARAGUAIA;18,16;97,77;70,23
170825;FORTALEZA DO TABOCAO;2,32;93,17;87,64
170830;GOIANORTE;9,7;93,32;52,69
170900;GOIATINS;8,63;82,78;37,49
170930;GUARAI;23,75;95,4;89,4
170950;GURUPI;42,85;99,18;95,76
170980;IPUEIRAS;81,66;96,72;68,53
171050;ITACAJA;39,36;89,95;65,42
171070;ITAGUATINS;26,05;88,27;49,19
171090;ITAPIRATINS;0,19;80,98;52,51
171110;ITAPORA DO TOCANTINS;2,55;97,05;61,93
171150;JAU DO TOCANTINS;0,7;93,69;49,52
171180;JUARINA;18,88;92,77;49,12
171190;LAGOA DA CONFUSAO;5,9;89,44;68,52
171195;LAGOA DO TOCANTINS;28,92;94,44;65,96
171200;LAJEADO;40,08;91,88;78,9
171215;LAVANDEIRA;23,27;75,92;57,14
171240;LIZARDA;52,56;79,69;23,28
171245;LUZINOPOLIS;0,14;83,63;70,98
171250;MARIANOPOLIS DO TOCANTINS;12,17;98,58;51,61
171270;MATEIROS;11,87;83,63;62,05
171280;MAURILANDIA DO TOCANTINS;16;88,71;51,06
171320;MIRACEMA DO TOCANTINS;13,9;96,1;84,61
171330;MIRANORTE;2,22;97,1;86,81
171360;MONTE DO CARMO;19,41;88,64;42,23
171370;MONTE SANTO DO TOCANTINS;14,73;90,96;51,16
171380;PALMEIRAS DO TOCANTINS;1,07;84,09;48,94
171395;MURICILANDIA;15,54;88,57;55,77
171420;NATIVIDADE;34,86;88,87;72,6
171430;NAZARE;1,88;92,65;40,31
171488;NOVA OLINDA;7,39;95,05;64,07
171500;NOVA ROSALANDIA;1,93;98,78;73,31
171510;NOVO ACORDO;33,49;93,58;74,81
171515;NOVO ALEGRE;17,71;84,62;74,89
171525;NOVO JARDIM;27,83;88,38;80,13
171550;OLIVEIRA DE FATIMA;8,77;98,74;73,04
171570;PALMEIRANTE;6,34;77,59;16,29
171575;PALMEIROPOLIS;9,95;93,53;76,42
171610;PARAISO DO TOCANTINS;19,57;99,44;94,73
171620;PARANA;1,11;66,91;48,79
171630;PAU D'ARCO;12,77;92,35;52,37
171650;PEDRO AFONSO;52,24;96,98;85,31
171660;PEIXE;21,22;95,75;50,72
171665;PEQUIZEIRO;26,29;89,44;48,15
171670;COLMEIA;44,83;93,95;72,67
171700;PINDORAMA DO TOCANTINS;24,02;94,69;64,06
171720;PIRAQUE;0,46;88,53;35,57
171750;PIUM;18,76;93,04;57,52
171780;PONTE ALTA DO BOM JESUS;1,67;62,29;41,65
171790;PONTE ALTA DO TOCANTINS;3,01;89,5;59,41
171800;PORTO ALEGRE DO TOCANTINS;5,29;85,75;68,12
171820;PORTO NACIONAL;65,04;94,22;83,92
171830;PRAIA NORTE;19,89;96,18;37,88
171840;PRESIDENTE KENNEDY;18,22;91,73;82,62
171845;PUGMIL;1,39;98,61;82,06
171850;RECURSOLANDIA;13,18;70,76;51,83
171855;RIACHINHO;2,43;91,3;35,74
171865;RIO DA CONCEICAO;40,84;88,08;91,39
171870;RIO DOS BOIS;2,93;82,34;53,75
171875;RIO SONO;3,33;88,03;38,93
171880;SAMPAIO;19,96;95,59;66,5
171884;SANDOLANDIA;4,01;75,69;60,01
171886;SANTA FE DO ARAGUAIA;27;93,85;71,84
171888;SANTA MARIA DO TOCANTINS;12,87;84,31;61,76
171889;SANTA RITA DO TOCANTINS;39,34;90,24;39,49
171890;SANTA ROSA DO TOCANTINS;34,28;89,39;45,33
171900;SANTA TEREZA DO TOCANTINS;1,81;93,95;64,29
172000;SANTA TEREZINHA DO TOCANTINS;0,44;87,26;61,93
172010;SAO BENTO DO TOCANTINS;3,6;84,56;50,52
172015;SAO FELIX DO TOCANTINS;68,41;82,31;60
172020;SAO MIGUEL DO TOCANTINS;0,26;89,63;56,63
172025;SAO SALVADOR DO TOCANTINS;16,71;92,01;66,34
172030;SAO SEBASTIAO DO TOCANTINS;4,17;82,67;54,13
172049;SAO VALERIO;5,35;93,9;56,73
172065;SILVANOPOLIS;0,84;96,05;70,08
172080;SITIO NOVO DO TOCANTINS;12,54;96,23;41,47
172085;SUCUPIRA;0,91;97,64;57,72
172090;TAGUATINGA;12,67;80,05;62,79
172093;TAIPAS DO TOCANTINS;64,46;80,9;71,65
172097;TALISMA;28,5;99,5;47
172100;PALMAS;68,76;99,17;96,99
172110;TOCANTINIA;21,73;81,94;48,64
172120;TOCANTINOPOLIS;5,31;93,82;80,61
172125;TUPIRAMA;25,31;83,89;58,79
172130;TUPIRATINS;49,69;97,21;50,15
172208;WANDERLANDIA;0,72;92,38;58,56
172210;XAMBIOA;6,62;94,85;82,74
210005;ACAILANDIA;13,06;89,57;84,24
210010;AFONSO CUNHA;2,61;67,76;36,07
210015;AGUA DOCE DO MARANHAO;1,5;86,73;15,61
210020;ALCANTARA;6,59;73,62;22,23
210030;ALDEIAS ALTAS;8,88;77,26;29,55
210040;ALTAMIRA DO MARANHAO;4,21;88,23;24,48
210043;ALTO ALEGRE DO MARANHAO;21,37;84,36;49,03
210047;ALTO ALEGRE DO PINDARE;9,53;92,98;32,07
210050;ALTO PARNAIBA;2,46;85,59;47,53
210055;AMAPA DO MARANHAO;29,47;86,03;27,87
210060;AMARANTE DO MARANHAO;4,12;83,12;44,44
210070;ANAJATUBA;11,05;77,24;20,2
210080;ANAPURUS;4,93;93,29;19,79
210083;APICUM-ACU;0,8;86,43;5,67
210087;ARAGUANA;14,87;82,38;37,7
210090;ARAIOSES;15,39;62,6;24,68
210095;ARAME;13,44;76,33;37,83
210100;ARARI;50,2;73,63;49,5
210110;AXIXA;33,52;73,08;10,88
210120;BACABAL;31,12;90,82;71,18
210125;BACABEIRA;31,22;69,48;51,95
210130;BACURI;13,51;71,09;12,88
210135;BACURITUBA;0,57;77,17;0,43
210140;BALSAS;18,43;93,01;82,97
210150;BARAO DE GRAJAU;5,1;81,42;47,32
210160;BARRA DO CORDA;14,11;73,48;51,07
210170;BARREIRINHAS;16,54;81,35;35,92
210173;BELAGUA;3,72;58,89;0,4
210177;BELA VISTA DO MARANHAO;6,65;94,22;28,85
210180;BENEDITO LEITE;34,18;81,18;27,06
210190;BEQUIMAO;5,23;78,62;7,04
210193;BERNARDO DO MEARIM;27,87;84,83;49,6
210197;BOA VISTA DO GURUPI;4,68;93,5;59,33
210200;BOM JARDIM;3,94;78,49;33,28
210203;BOM JESUS DAS SELVAS;22,66;68,73;47,71
210207;BOM LUGAR;1,79;90,28;15,8
210210;BREJO;19,14;65,48;17,35
210215;BREJO DE AREIA;0,31;56,36;8,55
210220;BURITI;5,67;69,12;15,12
210230;BURITI BRAVO;6,53;80,14;27,89
210232;BURITICUPU;6,74;69,77;52,76
210235;BURITIRANA;4,4;94,17;32,85
210237;CACHOEIRA GRANDE;2,55;50;22,26
210240;CAJAPIO;31,28;67,92;5,14
210250;CAJARI;4,29;56,61;16,25
210255;CAMPESTRE DO MARANHAO;2,04;96,93;74,48
210260;CANDIDO MENDES;18,87;79,4;29,32
210270;CANTANHEDE;34,23;74,46;34,12
210275;CAPINZAL DO NORTE;9,06;89,3;23,2
210280;CAROLINA;30,03;82,9;64,08
210290;CARUTAPERA;20,34;80,06;53,71
210300;CAXIAS;26,84;85;60,97
210310;CEDRAL;1,73;91,45;20,41
210312;CENTRAL DO MARANHAO;7,18;78,93;14,9
210315;CENTRO DO GUILHERME;6,74;77,02;32,66
210317;CENTRO NOVO DO MARANHAO;10,92;78,99;22,23
210320;CHAPADINHA;16,57;71,34;50,8
210325;CIDELANDIA;0,77;92,43;41,02
210330;CODO;24,88;87,21;62,93
210340;COELHO NETO;7,12;93,95;52,58
210350;COLINAS;4,64;72,78;39,6
210355;CONCEICAO DO LAGO-ACU;2,49;57,75;30,85
210360;COROATA;20,64;91,37;51,75
210370;CURURUPU;2,66;81,3;33,74
210375;DAVINOPOLIS;20,95;97,77;35,8
210380;DOM PEDRO;17,54;94,21;63,65
210390;DUQUE BACELAR;38,39;76,62;27,37
210400;ESPERANTINOPOLIS;13,39;85,3;52,24
210405;ESTREITO;9,04;95,08;74,06
210407;FEIRA NOVA DO MARANHAO;9,96;89,12;32,36
210408;FERNANDO FALCAO;0,05;58,69;6,22
210409;FORMOSA DA SERRA NEGRA;1,75;74,46;25,23
210410;FORTALEZA DOS NOGUEIRAS;3,34;87,72;55,4
210420;FORTUNA;3,59;75,37;41,8
210430;GODOFREDO VIANA;27,49;71,38;16,43
210440;GONCALVES DIAS;3,29;85,06;40,31
210450;GOVERNADOR ARCHER;8,89;89,25;57,35
210455;GOVERNADOR EDISON LOBAO;33,45;93,83;66,9
210460;GOVERNADOR EUGENIO BARROS;2,18;91,19;35,33
210462;GOVERNADOR LUIZ ROCHA;19,23;94,39;18,97
210465;GOVERNADOR NEWTON BELLO;2,83;82,95;28,06
210467;GOVERNADOR NUNES FREIRE;39,91;90,37;54,66
210470;GRACA ARANHA;3,48;96,06;31,27
210480;GRAJAU;5,06;81,4;57,88
210490;GUIMARAES;2,52;84,81;16,38
210500;HUMBERTO DE CAMPOS;9,66;75,93;18,58
210510;ICATU;4,83;54,36;15,36
210515;IGARAPE DO MEIO;1,3;92,54;11,5
210520;IGARAPE GRANDE;17,76;88,37;60,25
210530;IMPERATRIZ;49,95;96,58;91,94
210535;ITAIPAVA DO GRAJAU;3,05;82,81;21,13
