,geocode,season,temp_med,umid_med,precip_tot,thr_temp,thr_umid,thr_prec,thr_temp_umid,year,dengue_pattern
174,2704005,Summer,26.153582222222223,74.30546333333334,658.0076,90,90,20,90,2010,Episódico/Epidêmico
175,2704005,Winter,22.329039130434783,82.34850543478261,1434.1467,92,92,45,92,2010,Episódico/Epidêmico
176,2704104,Autumn,24.279869565217393,82.11109782608695,1610.4092,92,92,45,92,2010,Episódico/Epidêmico
177,2704104,Spring,25.303071111111112,71.55539222222222,397.5184,90,90,8,90,2010,Episódico/Epidêmico
178,2704104,Summer,26.31953888888889,71.04137777777778,571.4302,90,90,17,90,2010,Episódico/Epidêmico
179,2704104,Winter,21.975141304347826,81.67750652173913,1063.598,92,92,37,92,2010,Episódico/Epidêmico
180,2704203,Autumn,24.235602173913044,83.8361847826087,1836.583,92,92,52,92,2010,Episódico/Epidêmico
181,2704203,Spring,24.946514444444443,75.08988666666666,534.9431,90,90,11,90,2010,Episódico/Epidêmico
182,2704203,Summer,25.98362222222222,74.29417777777778,626.0167,90,90,18,90,2010,Episódico/Epidêmico
183,2704203,Winter,22.070110869565216,82.96566847826087,1396.1129,92,92,47,92,2010,Episódico/Epidêmico
184,2704302,Autumn,25.01713695652174,83.61034456521739,3042.3735,92,92,71,92,2010,Epidêmico
185,2704302,Spring,25.247043333333334,76.72559111111111,672.8247,90,90,25,90,2010,Epidêmico
186,2704302,Summer,26.042124444444447,77.70620666666667,975.4831,90,90,40,90,2010,Epidêmico
187,2704302,Winter,23.343657608695654,79.99122173913044,2946.4638999999997,92,92,63,92,2010,Epidêmico
188,2704401,Autumn,24.690554347826087,79.65343152173914,1404.5569,92,90,33,90,2010,Episódico/Epidêmico
189,2704401,Spring,25.999496666666666,67.7669311111111,352.2017,90,82,8,82,2010,Episódico/Epidêmico
190,2704401,Summer,27.019335555555557,67.07696333333334,406.1449,90,78,12,78,2010,Episódico/Epidêmico
191,2704401,Winter,22.264920652173913,80.1409706521739,871.3184,92,92,28,92,2010,Episódico/Epidêmico
192,2704500,Autumn,25.193707608695654,83.73455760869565,2898.4342,92,92,69,92,2010,Epidêmico
193,2704500,Spring,25.612693333333336,74.82634333333333,604.0805,90,90,17,90,2010,Epidêmico
194,2704500,Summer,26.276539999999997,77.45179555555556,1019.1393,90,90,38,90,2010,Epidêmico
195,2704500,Winter,23.59136304347826,80.14227608695651,2368.929,92,92,59,92,2010,Epidêmico
196,2704609,Autumn,24.27448804347826,78.20157282608696,1193.3828,92,85,26,85,2010,Episódico/Epidêmico
197,2704609,Spring,25.784626666666664,65.2162388888889,367.9969,90,65,9,65,2010,Episódico/Epidêmico
198,2704609,Summer,26.675642222222223,65.15243777777778,440.9,90,69,12,69,2010,Episódico/Epidêmico
199,2704609,Winter,21.73854456521739,79.05293260869566,747.3164,92,92,23,92,2010,Episódico/Epidêmico
200,2704708,Autumn,25.103904347826088,83.83324565217391,2822.638,92,92,71,92,2010,Epidêmico
201,2704708,Spring,25.412764444444445,76.90134777777777,671.2815,90,90,20,90,2010,Epidêmico
202,2704708,Summer,26.225212222222222,77.72346333333334,1018.9898,90,90,41,90,2010,Epidêmico
203,2704708,Winter,23.39194782608696,80.15521086956522,2467.4452,92,92,58,92,2010,Epidêmico
204,2704807,Autumn,23.86311847826087,84.63592717391305,1815.3507,92,92,56,92,2010,Episódico/Epidêmico
205,2704807,Spring,24.379717777777778,76.9134,630.7814,90,90,18,90,2010,Episódico/Epidêmico
206,2704807,Summer,25.434418888888885,75.99551222222222,591.1499,90,90,20,90,2010,Episódico/Epidêmico
207,2704807,Winter,21.735508695652175,83.6393,1665.1542,92,92,51,92,2010,Episódico/Epidêmico
208,2704906,Autumn,23.39243586956522,84.43643804347826,1635.0838,92,92,52,92,2010,Sem transmissão
209,2704906,Spring,23.945705555555556,76.41038555555555,655.509,90,90,17,90,2010,Sem transmissão
210,2704906,Summer,25.001635555555556,75.44241666666667,537.9644,90,90,17,90,2010,Sem transmissão
211,2704906,Winter,21.176350000000003,83.98006956521739,1590.9468,90,92,51,90,2010,Sem transmissão
212,2705002,Autumn,24.000519565217388,76.61728804347827,931.5723,92,84,19,84,2010,Episódico/Epidêmico
213,2705002,Spring,25.668143333333333,63.21080444444444,365.1419,90,52,8,52,2010,Episódico/Epidêmico
214,2705002,Summer,26.30708555555556,64.53115666666667,620.1629,90,59,16,59,2010,Episódico/Epidêmico
215,2705002,Winter,21.576171739130437,76.4161097826087,516.5725,89,92,12,89,2010,Episódico/Epidêmico
216,2705101,Autumn,24.674911956521736,85.19065,2825.0765,92,92,65,92,2010,Episódico/Epidêmico
217,2705101,Spring,25.100157777777778,77.11995555555556,639.6276,90,90,24,90,2010,Episódico/Epidêmico
218,2705101,Summer,25.84596666666667,78.67736888888889,904.0772,90,90,35,90,2010,Episódico/Epidêmico
219,2705101,Winter,22.913604347826084,82.55950652173912,2604.0747,92,92,62,92,2010,Episódico/Epidêmico
220,2705200,Autumn,24.41984347826087,84.87830652173913,2705.3139,92,92,63,92,2010,Episódico/Epidêmico
221,2705200,Spring,24.815135555555557,77.14297777777779,631.9473,90,90,22,90,2010,Episódico/Epidêmico
222,2705200,Summer,25.665425555555558,77.81123666666667,827.5794,90,90,25,90,2010,Episódico/Epidêmico
223,2705200,Winter,22.544738043478258,82.53375,2677.7841,92,92,60,92,2010,Episódico/Epidêmico
224,2705309,Autumn,24.114384782608695,80.1526652173913,1224.9317,92,91,30,91,2010,Episódico
225,2705309,Spring,25.295270000000002,68.59343111111112,393.1765,90,84,9,84,2010,Episódico
226,2705309,Summer,26.288044444444445,68.02414444444445,413.0695,90,78,11,78,2010,Episódico
227,2705309,Winter,21.702032608695653,80.87311630434782,905.9847,92,92,31,92,2010,Episódico
228,2705408,Autumn,24.944932608695648,77.75766195652173,1241.4095,92,89,25,89,2010,Episódico/Epidêmico
229,2705408,Spring,26.42990111111111,65.35399333333334,387.9228,90,69,8,69,2010,Episódico/Epidêmico
230,2705408,Summer,27.305824444444443,65.62152888888889,427.1507,90,69,10,69,2010,Episódico/Epidêmico
231,2705408,Winter,22.592109782608695,77.22304239130435,679.7348,92,92,19,92,2010,Episódico/Epidêmico
232,2705507,Autumn,24.018960869565216,85.45094347826087,2462.4798,92,92,63,92,2010,Episódico/Epidêmico
233,2705507,Spring,24.495614444444445,77.50014333333333,639.9083,90,90,21,90,2010,Episódico/Epidêmico
234,2705507,Summer,25.409866666666666,77.73445000000001,754.1005,90,90,21,90,2010,Episódico/Epidêmico
235,2705507,Winter,22.024477173913045,83.87152608695652,2380.0884,92,92,59,92,2010,Episódico/Epidêmico
236,2705606,Autumn,24.30986847826087,85.54960326086957,2466.6196,92,92,62,92,2010,Episódico
237,2705606,Spring,24.77229,77.34692111111112,699.2513,90,90,25,90,2010,Episódico
238,2705606,Summer,25.59880888888889,78.45289333333334,866.3706999999999,90,90,33,90,2010,Episódico
239,2705606,Winter,22.4203,83.84861413043478,2394.8674,92,92,63,92,2010,Episódico
240,2705705,Autumn,24.72472826086957,78.41571847826087,1338.2661,92,89,28,89,2010,Episódico/Epidêmico
241,2705705,Spring,26.18258,65.98030777777778,387.109,90,69,6,69,2010,Episódico/Epidêmico
242,2705705,Summer,27.10155111111111,65.88832888888889,427.1153,90,71,10,71,2010,Episódico/Epidêmico
243,2705705,Winter,22.309240217391306,78.44725326086956,759.9762,92,92,22,92,2010,Episódico/Epidêmico
244,2705804,Autumn,24.97187391304348,75.4683347826087,1012.2115,92,86,21,86,2010,Episódico
245,2705804,Spring,26.553796666666667,63.30832555555556,428.8536,90,57,9,57,2010,Episódico
246,2705804,Summer,27.33922111111111,64.13541,566.8887,90,60,18,60,2010,Episódico
247,2705804,Winter,22.707790217391306,73.8703152173913,504.1509,92,91,14,91,2010,Episódico
248,2705903,Autumn,24.815995652173914,82.5847695652174,1700.0631,92,92,41,92,2010,Episódico
249,2705903,Spring,25.881896666666666,72.17758222222223,391.1049,90,90,8,90,2010,Episódico
250,2705903,Summer,26.779886666666666,72.67241444444446,624.7425,90,90,16,90,2010,Episódico
251,2705903,Winter,22.73157826086956,80.94742391304348,993.991,92,92,32,92,2010,Episódico
252,2706000,Autumn,24.675028260869567,78.96036630434783,1457.6071,92,89,35,89,2010,Episódico/Epidêmico
253,2706000,Spring,26.071764444444444,66.74122111111112,378.5809,90,74,7,74,2010,Episódico/Epidêmico
254,2706000,Summer,27.050057777777777,66.24181777777778,409.9614,90,72,10,72,2010,Episódico/Epidêmico
