,geocode,season,temp_med,umid_med,precip_tot,thr_temp,thr_umid,thr_prec,thr_temp_umid,year,dengue_pattern
176,2704104,Autumn,24.56883913043478,79.21135869565217,783.4138,92,92,27,92,2017,Episódico/Epidêmico
177,2704104,Spring,25.588727777777777,69.97900666666666,239.88309999999998,90,89,1,89,2017,Episódico/Epidêmico
178,2704104,Summer,26.693804444444442,70.40195555555556,476.1827,90,90,14,90,2017,Episódico/Epidêmico
179,2704104,Winter,23.13688260869565,74.85636195652174,442.4706,92,92,8,92,2017,Episódico/Epidêmico
180,2704203,Autumn,24.40297391304348,81.93046304347827,933.1712,92,92,40,92,2017,Episódico/Epidêmico
181,2704203,Spring,25.156793333333336,74.02849111111111,352.3945,90,90,5,90,2017,Episódico/Epidêmico
182,2704203,Summer,26.27085111111111,74.2833888888889,604.1215,90,90,21,90,2017,Episódico/Epidêmico
183,2704203,Winter,22.95221847826087,77.83204891304348,604.2335,92,92,20,92,2017,Episódico/Epidêmico
184,2704302,Autumn,24.92793043478261,83.22620108695652,1877.5065,92,92,68,92,2017,Epidêmico
185,2704302,Spring,25.152986666666663,78.03467111111111,711.5702,90,90,34,90,2017,Epidêmico
186,2704302,Summer,26.056856666666665,79.44854888888888,1092.3431,90,90,40,90,2017,Epidêmico
187,2704302,Winter,23.675873913043482,78.06361086956522,1198.9572,92,92,44,92,2017,Epidêmico
188,2704401,Autumn,25.05118152173913,76.19550434782609,619.6295,92,92,19,92,2017,Episódico/Epidêmico
189,2704401,Spring,26.470835555555556,64.81198333333333,152.9062,90,70,1,70,2017,Episódico/Epidêmico
190,2704401,Summer,27.53043444444444,65.54820222222223,315.7388,90,70,8,70,2017,Episódico/Epidêmico
191,2704401,Winter,23.659933695652175,71.92586630434782,328.371,92,92,5,92,2017,Episódico/Epidêmico
192,2704500,Autumn,25.14658043478261,83.04230869565217,1683.6808,92,92,65,92,2017,Episódico/Epidêmico
193,2704500,Spring,25.444163333333336,77.01282,728.0443,90,90,29,90,2017,Episódico/Epidêmico
194,2704500,Summer,26.25550666666667,78.96205444444445,1185.8637,90,90,41,90,2017,Episódico/Epidêmico
195,2704500,Winter,24.00989456521739,77.0561902173913,921.0568,92,92,37,92,2017,Episódico/Epidêmico
196,2704609,Autumn,24.63386847826087,74.58384565217392,582.7913,92,91,18,91,2017,Episódico
197,2704609,Spring,26.408199999999997,61.05400111111111,108.9239,90,51,0,51,2017,Episódico
