muni_code;dengue_pattern_2010_2016;dengue_pattern_2017_2022;transition
1508035;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1508050;Episódico;Episódico/Epidêmico;Piorou
1508084;Epidêmico;Episódico/Epidêmico;Melhorou
1508100;Epidêmico;Episódico/Epidêmico;Melhorou
1508126;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1508159;Epidêmico;Episódico/Epidêmico;Melhorou
1508209;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1508308;Episódico/Epidêmico;Episódico;Melhorou
1508357;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1508407;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1600055;Episódico/Epidêmico;Episódico;Melhorou
1600105;Episódico;Episódico;Se manteve
1600154;Episódico/Epidêmico;Episódico;Melhorou
1600204;Episódico/Epidêmico;Episódico;Melhorou
1600212;Sem transmissão;Sem transmissão;Se manteve
1600238;Episódico/Epidêmico;Episódico;Melhorou
1600253;Episódico;Sem transmissão;Melhorou
1600279;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1600303;Epidêmico;Epidêmico;Se manteve
1600402;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1600501;Epidêmico;Episódico/Epidêmico;Melhorou
1600535;Episódico/Epidêmico;Episódico;Melhorou
1600550;Sem transmissão;Sem transmissão;Se manteve
1600600;Epidêmico;Episódico/Epidêmico;Melhorou
1600709;Episódico;Episódico;Se manteve
1600808;Sem transmissão;Episódico;Piorou
1700251;Episódico/Epidêmico;Episódico;Melhorou
1700301;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1700350;Episódico;Episódico/Epidêmico;Piorou
1700400;Episódico/Epidêmico;Episódico;Melhorou
1700707;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1701002;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1701051;Episódico;Episódico;Se manteve
1701101;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1701309;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1701903;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1702000;Epidêmico;Episódico/Epidêmico;Melhorou
1702109;Epidêmico;Epidêmico;Se manteve
1702158;Episódico/Epidêmico;Episódico;Melhorou
1702208;Epidêmico;Episódico/Epidêmico;Melhorou
1702307;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1702406;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1702554;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1702703;Episódico;Episódico;Se manteve
1702901;Episódico/Epidêmico;Episódico;Melhorou
1703008;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
